condition,artifact,level,patient_id,modality,mse,psnr
ringing_L6,ringing,6,BraTS20_Training_016,t1,0.003216333920136094,24.92638869082709
ringing_L6,ringing,6,BraTS20_Training_016,t1ce,0.00388558697886765,24.105433649126716
ringing_L6,ringing,6,BraTS20_Training_016,t2,0.004114319104701281,23.857020276543075
ringing_L7,ringing,7,BraTS20_Training_001,flair,0.0038675444666296244,24.125646843510623
ringing_L7,ringing,7,BraTS20_Training_001,t1,0.00609879894182086,22.147556837265803
ringing_L7,ringing,7,BraTS20_Training_001,t1ce,0.007283729501068592,21.376461911547977
ringing_L7,ringing,7,BraTS20_Training_001,t2,0.0042581078596413136,23.707833418986908
ringing_L7,ringing,7,BraTS20_Training_004,flair,0.0033722971566021442,24.720741636479758
ringing_L7,ringing,7,BraTS20_Training_004,t1,0.005587154068052769,22.528093526271995
ringing_L7,ringing,7,BraTS20_Training_004,t1ce,0.008321245200932026,20.79811680508573
ringing_L7,ringing,7,BraTS20_Training_004,t2,0.006050469819456339,22.18210901037562
ringing_L7,ringing,7,BraTS20_Training_006,flair,0.004708902910351753,23.270802638858335
ringing_L7,ringing,7,BraTS20_Training_006,t1,0.006644140928983688,21.775611642954708
ringing_L7,ringing,7,BraTS20_Training_006,t1ce,0.008140509016811848,20.893484383195187
ringing_L7,ringing,7,BraTS20_Training_006,t2,0.007893068715929985,21.027541162723864
ringing_L7,ringing,7,BraTS20_Training_010,flair,0.012353016063570976,19.082269938336406
ringing_L7,ringing,7,BraTS20_Training_010,t1,0.006194480694830418,22.079950962004045
ringing_L7,ringing,7,BraTS20_Training_010,t1ce,0.008856439962983131,20.52740817067258
ringing_L7,ringing,7,BraTS20_Training_010,t2,0.010780207812786102,19.673728670642742
ringing_L7,ringing,7,BraTS20_Training_016,flair,0.002139897085726261,26.69607112714332
ringing_L7,ringing,7,BraTS20_Training_016,t1,0.005479125771671534,22.61288730352659
ringing_L7,ringing,7,BraTS20_Training_016,t1ce,0.005855285096913576,22.324519540498603
ringing_L7,ringing,7,BraTS20_Training_016,t2,0.006814693100750446,21.66553697811959
ringing_L8,ringing,8,BraTS20_Training_001,flair,0.006655508652329445,21.76818747633595
ringing_L8,ringing,8,BraTS20_Training_001,t1,0.0129957664757967,18.861981012039465
ringing_L8,ringing,8,BraTS20_Training_001,t1ce,0.011545496061444283,19.37587402537219
ringing_L8,ringing,8,BraTS20_Training_001,t2,0.0080732312053442,20.929526097899206
ringing_L8,ringing,8,BraTS20_Training_004,flair,0.0057406313717365265,22.41040339974515
ringing_L8,ringing,8,BraTS20_Training_004,t1,0.011906666681170464,19.24209803974129
ringing_L8,ringing,8,BraTS20_Training_004,t1ce,0.012119865044951439,19.165022160244526
ringing_L8,ringing,8,BraTS20_Training_004,t2,0.010561761446297169,19.76263645948715
ringing_L8,ringing,8,BraTS20_Training_006,flair,0.007472583092749119,21.265292470452167
ringing_L8,ringing,8,BraTS20_Training_006,t1,0.014020713977515697,18.53229870206727
ringing_L8,ringing,8,BraTS20_Training_006,t1ce,0.012730211950838566,18.95164365528329
ringing_L8,ringing,8,BraTS20_Training_006,t2,0.01358803454786539,18.66843357597695
ringing_L8,ringing,8,BraTS20_Training_010,flair,0.018763242289423943,17.266921133589832
ringing_L8,ringing,8,BraTS20_Training_010,t1,0.013015639036893845,18.85534504206026
ringing_L8,ringing,8,BraTS20_Training_010,t1ce,0.012772971764206886,18.93708047869962
ringing_L8,ringing,8,BraTS20_Training_010,t2,0.01751965470612049,17.564744575688664
ringing_L8,ringing,8,BraTS20_Training_016,flair,0.004009024240076542,23.969613178328764
ringing_L8,ringing,8,BraTS20_Training_016,t1,0.011026592925190926,19.575586582185146
ringing_L8,ringing,8,BraTS20_Training_016,t1ce,0.009152654558420181,20.38452928570194
ringing_L8,ringing,8,BraTS20_Training_016,t2,0.012401341460645199,19.06531334398631
ringing_L9,ringing,9,BraTS20_Training_001,flair,0.009716637432575226,20.124840022685774
ringing_L9,ringing,9,BraTS20_Training_001,t1,0.019307121634483337,17.1428246736185
ringing_L9,ringing,9,BraTS20_Training_001,t1ce,0.015600413084030151,18.068639017904317
ringing_L9,ringing,9,BraTS20_Training_001,t2,0.012476218864321709,19.039170152283376
ringing_L9,ringing,9,BraTS20_Training_004,flair,0.008042294532060623,20.946200258232146
ringing_L9,ringing,9,BraTS20_Training_004,t1,0.01759331487119198,17.54652324577029
ringing_L9,ringing,9,BraTS20_Training_004,t1ce,0.015154511667788029,18.194580535822013
ringing_L9,ringing,9,BraTS20_Training_004,t2,0.014591761864721775,18.358922665760467
ringing_L9,ringing,9,BraTS20_Training_006,flair,0.01023868191987276,19.89755948806544
ringing_L9,ringing,9,BraTS20_Training_006,t1,0.021095553413033485,16.758090770100416
